,english_premise,english_hypothesis,english_label
2086,"You wonder what youre going to be when you grow up, lawyer Smith said. ",You want to be a lawyer when you grow up.,1
2087,Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).,Any point you didn't get by fixing the questions can be added to the executive summary for the news conference to address.,0
2088,yeah i'm trying to find out how long we're supposed talk,We need to talk a lot.,1
2089,"Among the sights in Beziers are the ancient Eglise Saint Jacques and Eglise Sainte Madeleine, the 19th-century Halles (covered market), and the massive Cathedrale Saint-Nazaire, from which there is a good view over the river valley.",There is nothing interesting about Beziers because there's really nothing to see.,2
2090,"But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.",The cushion cannot be depleted and there is not going to be another recession.,2
2091,It means that they gather and interpret their material fairly and argue about its interpretations rationally.,The material is gathered hastily and is argued about irrationally.,2
2092,"But if banks, airlines, and communications companies accept key recovery, the terrorists will risk potential exposure every time they do business with those institutions.",Terrorists will find new methods of performing transactions.,1
2093,Paper goods.,Paper products.,0
2094,you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank,"After CODA and credit union, nothing is left of my salary.",2
2095,Click here for Finkelstein's explanation of why this logic is expedient.,Do not click here for Finkelstein's explanation of why this logic is silly.,2
2096,"8 A stoichiometry of 1.03 is typical when the FGD process is producing gypsum by-product, while a stoichiometry of 1.05 is needed to produce waste suitable for a landfill.",A stoichiometry of 1.03 is typical when the FGD process is not producing gypsum by-product,2
2097,There is.,There never was.,2
2098,"Good sir, Jon began.",Jon addressed the king.,1
2099,"The Honorable Bill Archer, Chairman The Honorable Charles B. Rangel Ranking Minority Member Committee on Ways and Means House of Representatives",Bill Archer is a member of the House of Representatives.,0
2100,"It is at the moment of maximum audience susceptibility that we hear, for the first time, that the woman was fired not because of her gender but because of her sexual preference.",The woman was fired not for her sexual preference but purely on the basis of gender.,2
2101,if the United States had used full conventional power.,The United States is unable to maximize their potential.,1
2102,I don't know.,I am not sure.,0
2103,She's very tired.,She is very tired.,0
2104,We are also advocating enhanced reporting in connection with key federal performance and projection information.,We are not advocating enhanced reporting in connection with key federal performance.,2
2105,He's too cautious.,He's not brave enough.,0
2106,"But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.",There is only an upside to anthem's check ,2
2107,you know it's easy to say well yeah let's let's put these old folks in a home but when i think i don't want to do that you know i don't want to be have my little home i always threaten my daughters i say well,They say to put them in homes for older folks home but I do not want to do that.,0
2108,17 An alternative to unaddressed mail would be to auction off the right to be a third bundle on specific days in specific post offices.,You could auction off the right to another bundle instead of doing unaddressed mail.,0
2109,"New York Times Book Review Editor Charles McGrath, a former deputy to William Shawn at the New Yorker , calls Lillian Ross' memoir about her affair with Shawn on occasion factually inaccurate or misleading and a betrayal of Shawn's high editorial principles.",McGrath claims that everything in the memorial was accurate.,2
2110,"Yes, undoubtedly the hand of Mr. Brown! Mr. Carter paused.",Carter was excited.,1
2111,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",0
2112,"And here, current history adds a major point.",Current history doesn't add any points to it.,2
2113,The door did not budge.,The door didn't move. ,0
2114,"Ah, yes, actually, two weeks ago we had a very similar situation, the captain alertly added and quickly changed the subject, 'What's important now is that you get ready for about 2 minutes in the state of weightlessness, and not some Slovakian satellite from two weeks ago.",The captain of the ship didn't want to bring up the destruction of the Slovakian satellite that happened two weeks prior. ,1
